track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics
52xJxFP6TqMuO4Yt0eOkMz,0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,216120,4,"We don't talk about Bruno, no, no, no
We don't talk about Bruno, but

It was my wedding day (it was our wedding day)
We were getting ready, and there wasn't a cloud in the sky (no clouds allowed in the sky)
Bruno walks in with a mischievous grin (thunder)
You telling the story, or am I?
I'm sorry mi vida, go on

Bruno says ""It looks like rain"" (why did he tell us?)
In doing so, he floods my brain
Abuela, get the umbrellas
Married in a hurricane
What a joyous day! But anyway

We don't talk about Bruno, no, no, no
We don't talk about Bruno

Hey, grew to live in fear of Bruno stuttering or stumbling
I can always hear him sort of muttering and mumbling
I associate him with the sound of falling sand, ch-ch-ch
It's a heavy lift with a gift so humbling
Always Abuela and the family fumbling
Grappling with prophecies they couldn't understand"
3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1,"Wheezy outta here
Pushin' P
Yeah, pushin' P, turn me up
Turn me up, P, uh-ah

Pointers in the Patek and my piece, I'm pushin' P
Copped new hammers for my P, we don't want no peace
Got a spot across the spot, just for Ps
Dropped the dot and then we plot, exotic Ps
She not a lesbian, for P, she turn Pesbian (Pushin' P, I'm pushin' P)
Off capital P, I rock these Presidents, count presidents (Pushin' P)
Portuguese on her knees, my bandana P
She let me squeeze, then she leave 'cause she keep the P"
02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,"(Don't stop, baby, you can go on through
(Don't want, baby, think about you)
(You know that I'm never gonna lose)

Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a mirror

Road shimmer
Wiggling the vision
Heat heat waves
I'm swimming in a"
42Xba467wgGvYrR2EE6s0i,0.597,0.615,2,-6.346,1,0.0421,0.0303,0,0.378,0.467,160.014,227527,4,"Nay-nay-nay, nah, oh, oh

Smoke cigarettes, cancer in the chest like cardiac arrest
I've been feelin' stressed, tryna find ways to impress her
Showin' her that I love her, tryna show her an effort
Gotta keep it together, 'er
I don't wan' be lonely no more, oh"
5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,212353,4,"Baby back, ayy
Couple racks, ayy
Couple Grammys on him
Couple plaques, ayy
That's a fact, ayy
Throw it back, ayy
Throw it back, ayy

And this one is for the champions
I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah

I told you long ago, on the road
I got what they waitin' for
I don't run from nothin', dog
Get your soldiers, tell 'em I ain't layin' low
You was never really rootin' for me anyway
When I'm back up at the top I wanna hear you say
He don't run from nothin', dog
Get your soldiers, tell 'em that the break is over

Uh, need a, uh
Need to get this album done
Need a couple number ones
Need a plaque on every song
Need me like one with Nicki now
Tell a rap nigga, ""I don't see ya"", ha
I'm a pop nigga like Bieber, ha
I don't fuck bitches, I'm queer, ha
But these niggas bitches like Madea"
1HhNoOuqm1a5MXYEgAFl8o,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4,"Look out for yourself

I wake up to the sounds
Of the silence that allows
For my mind to run around
With my ear up to the ground

I'm searching to behold
The stories that are told
When my back is to the world
That was smiling when I turned

Tell you, ""You're the greatest""
But once you turn, they hate us

Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy

Look out for yourself
My enemy
Look out for yourself
But I'm ready

Your words up on the wall
As you're praying for my fall"
3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,210560,4,"I just want somebody
Somebody for me
Yeah, yeah
Could you be that someone
I need to know
(I need to know)

Tell me
Tell me, baby, is it
Is it meant to be
Tell me, baby, are you
Are you feelin' me
Touch me, hold me, tease me
Love me in every way

I need to know
I need to know
I need to know
(I need to know, know)

Tell me, I need to know
Tell me, I need to know
Tell me, I need to know (need to know)
Tell me, I need to know
Tell me, I need to know"
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,4,"I gotta feed the streets, my pistol gon' bleed the streets
Ski mask on my face, sometimes you got to cheat
To stay ahead in this bitch-ard (gang), drank syrup like it's liquor
Street life'll have you catchin' up to God quicker (yeah, gang)
Sticker, AK-40 to your liver
Let the chopper bang on you like a Blood or a Cripper (gang)
Flipper, so much bread, I'm a gymnast
Made so much money off of dummies, off of dummies (yeah, gang)

I'm mister body catcher, Slaughter Gang soul snatcher
Ain't no regular F-150, this a fuckin' Raptor
No capper, street nigga, not a rapper
Chopper hit him and he turned into a booty clapper
Smith & Wesson, I'm 4L Gang reppin'
We done baptized more niggas than the damn reverend (yeah)
Kappa Alpha, me and my gang, we do all the steppin'
Who you checkin'? This FN shoot East to West End (gang)

Yeah
I heard Papi outside
And he got the double-R droppy outside
Checked the weather and it's gettin' real oppy outside
I'ma drop this shit and have these pussies droppin' like some motherfuckin'-
Type of nigga that can't look me in the eyes
I despise"
7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,4,"Şarkı Sözleri

Dinle

Ana Sonuçlar

It's a human sign
When things go wrong
When the scent of her lingers
And temptation's strong

Cold, cold heart
Hardened by you (oh)
Some things lookin' better, baby
Just passin' through (no, no, no, no, no)

And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home"
0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,143901,4,"1, 2, 3, 4
Need a boy who can cuddle with me all night
Keep me warm, love me long, be my sunlight
Tell me lies, we can argue, we can fight
Yeah, we did it before, but we'll do it tonight
An afro, black boy with the gold teeth
Dark skin, lookin' at me like he know me
I wonder if he got the G or the B
Let me find out and see, comin' over to me, yeah

These days I'm way too lonely
I'm missin' out, I know
These days I'm way too alone
And I'm known for giving love away but

I want someone to love me"
